Relative.sequence	absolute	grass.cover	rainfall
	1955		174.011
	1956		233.729
1	1957	0	91.3559
2	1958	0	301.356
3	1959	0	205.254
4	1960	0	157.797
5	1961	2.16867	289.492
6	1962	1.26506	145.932
7	1963	0.903614	167.288
8	1964	9.93976	198.136
9	1965	2.71084	166.102
10	1966	9.93976	97.2881
11	1967	6.50602	258.644
12	1968	5.42169	168.475
13	1969	11.3855	207.627
14	1970	10.3012	105.593
15	1971	12.4699	196.949
16	1972	8.49398	136.441
17	1973	3.43373	166.102
18	1974	10.1205	192.203
19	1975	21.3253	175.593
20	1976	22.7711	215.932
21	1977	4.87952	194.576
22	1978	10.1205	166.102
23	1979	18.7952	195.763
24	1980	9.21687	100.847
25	1981	13.9157	140
26	1982	9.57831	109.153
27	1983	8.6747	193.39
28	1984	23.3133	169.661
29	1985	51.3253	281.186
30	1986	23.6747	141.186
31	1987	33.4337	119.831
32	1988	9.93976	174.407
33	1989	6.50602	189.831
34	1990	6.86747	213.559
35	1991	6.3253	96.5
36	1992	6.50602	177.966
37	1993	17.3494	180.339
38	1994	40.8434	200.508
39	1995	23.1325	217.119
40	1996	17.1687	214.746
41	1997	19.8795	158.983
42	1998	18.4337	199.322
43	1999	35.7831	142.373
44	2000	35.241	150.678
45	2001	35.7831	228.983
46	2002	45.5422	284.746
47	2003	51.1446	252.712
48	2004	48.0723	141
49	2005	48.9759	77.1186
50	2006	30.7653	130
51	2007	46.0714	271.2
52	2008	31.003	142
53	2009	40.8673	156.9
54	2010	30.05	142.5
55	2011	41.4796	189
56	2012	43.9286	180
57	2013	45	164.8
58	2014	49	251.1
59	2015	38.1	132.6
